index,grade,capture_type,source_path,output_path,segmented,width,height,area_px
37,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121334.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121334.jpg,True,307,321,89647.5
38,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121344.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121344.jpg,True,307,322,90056.0
39,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121400.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121400.jpg,True,299,314,89341.0
40,3A,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3A\20250913_121511.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\phone__20250913_121511.jpg,True,310,327,92150.0
41,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_084818.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_084818.jpg,True,288,282,78582.0
42,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_084827.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_084827.jpg,True,286,281,76807.5
43,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_084843.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_084843.jpg,True,289,282,78458.5
44,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_084929.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_084929.jpg,True,294,290,78912.0
45,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_084947.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_084947.jpg,True,289,284,78140.5
46,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085034.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085034.jpg,True,287,285,77200.0
47,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085055.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085055.jpg,True,288,283,77152.5
48,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085131.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085131.jpg,True,290,285,78485.0
49,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085148.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085148.jpg,True,286,285,77882.0
50,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085201.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085201.jpg,True,287,282,76483.0
51,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085230.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085230.jpg,True,288,282,76698.0
52,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085254.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085254.jpg,True,292,286,78141.0
53,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085306.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085306.jpg,True,291,286,78198.5
54,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085315.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085315.jpg,True,284,282,77508.5
55,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085326.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085326.jpg,True,285,283,76941.5
56,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085400.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085400.jpg,True,293,288,77916.0
57,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085420.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085420.jpg,True,291,285,77533.5
58,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085432.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085432.jpg,True,287,282,77072.5
59,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085537.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085537.jpg,True,287,281,77205.0
60,3B,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 3B\20250912_085636.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3B\phone__20250912_085636.jpg,True,288,286,77635.0
61,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_103905.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_103905.jpg,True,448,454,196367.5
62,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_104114.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_104114.jpg,True,449,460,200214.0
63,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_104213.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_104213.jpg,True,447,450,191509.0
64,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_104325.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_104325.jpg,True,446,451,192426.0
65,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_104416.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_104416.jpg,True,446,449,194334.5
66,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_104640.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_104640.jpg,True,454,469,200845.5
67,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_104740.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_104740.jpg,True,478,490,210819.0
68,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_104804.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_104804.jpg,True,472,488,209293.5
69,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_104826.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_104826.jpg,True,471,487,212069.5
70,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_104848.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_104848.jpg,True,462,486,210197.5
71,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_104939.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_104939.jpg,True,467,488,211257.0
72,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_105000.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_105000.jpg,True,474,491,212984.0
73,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_105103.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_105103.jpg,True,481,497,214698.0
74,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_105116.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_105116.jpg,True,479,496,215652.0
75,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_105141.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_105141.jpg,True,475,496,211623.5
76,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_105231.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_105231.jpg,True,475,489,211024.0
77,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_105255.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_105255.jpg,True,477,492,210465.5
78,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_105309.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_105309.jpg,True,471,493,212091.5
79,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_105335.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_105335.jpg,True,476,498,216726.0
80,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_105352.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_105352.jpg,True,478,495,208597.5
81,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250912_105408.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250912_105408.jpg,True,472,492,211747.0
82,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152103.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152103.jpg,True,293,301,83756.0
83,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152205.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152205.jpg,True,291,306,83888.5
84,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152230.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152230.jpg,True,290,303,83711.0
85,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152413.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152413.jpg,True,291,304,84300.5
86,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152428.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152428.jpg,True,291,306,84406.5
87,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152440.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152440.jpg,True,293,306,84287.0
88,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152450.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152450.jpg,True,292,306,83999.5
89,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152521.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152521.jpg,True,295,308,84761.0
90,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152535.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152535.jpg,True,295,308,85504.5
91,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152553.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152553.jpg,True,295,306,83926.5
92,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152610.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152610.jpg,True,291,308,83108.0
93,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152651.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152651.jpg,True,291,309,83158.0
94,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152724.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152724.jpg,True,289,308,83369.0
95,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152735.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152735.jpg,True,291,307,83976.0
96,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152800.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152800.jpg,True,290,308,84416.5
97,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152845.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152845.jpg,True,289,305,83694.5
98,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152859.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152859.jpg,True,289,304,83114.0
99,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152912.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152912.jpg,True,291,305,83527.5
100,4,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 4\20250913_152926.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\4\phone__20250913_152926.jpg,True,289,305,83744.5
101,5,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 5\20250912_105454.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\5\phone__20250912_105454.jpg,True,470,486,210018.5
102,5,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 5\20250912_105506.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\5\phone__20250912_105506.jpg,True,476,497,215991.0
103,5,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 5\20250912_105521.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\5\phone__20250912_105521.jpg,True,472,495,213733.5
104,5,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 5\20250912_105538.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\5\phone__20250912_105538.jpg,True,477,499,217840.0
105,5,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 5\20250912_105551.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\5\phone__20250912_105551.jpg,True,477,498,216118.0
106,5,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 5\20250912_105638.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\5\phone__20250912_105638.jpg,True,474,493,213602.5
107,5,phone,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\9x9 - 5\20250912_105705.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\5\phone__20250912_105705.jpg,True,467,483,206783.0
