source,output,grade,augmented
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0032.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0032_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0032.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0032_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0033.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0033.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0033.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0033_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0033.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0033_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0034.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0034.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0034.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0034_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0035.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0035.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0035.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0035_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0036.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0036.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0036.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0036_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0036.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0036_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0037.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0037.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0037.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0037_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0038.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0038.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0038.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0038_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0039.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0039.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0039.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0039_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0039.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0039_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0040.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0040.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0040.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0040_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0040.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0040_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0041.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0041.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0041.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0041_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0041.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0041_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0042.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0042.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0042.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0042_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0042.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0042_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0043-1.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0043-1.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0043-1.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0043-1_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0043-1.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0043-1_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0043.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0043.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0043.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0043_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0044.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0044.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0044.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0044_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0046.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0046.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0046.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0046_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0047.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0047.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0047.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0047_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0047.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0047_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0048.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0048.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0048.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0048_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0048.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0048_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0049.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0049.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0049.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0049_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0049.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0049_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0050.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0050.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0050.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0050_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0051.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0051.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0051.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0051_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0051.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0051_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0052.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0052.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0052.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0052_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0052.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0052_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0053.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0053.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0053.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0053_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0053.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0053_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0054.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0054.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0054.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0054_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0055.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0055.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0055.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0055_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0056.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0056.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0056.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0056_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0056.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0056_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0057.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0057.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0057.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0057_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0058.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0058.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0058.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0058_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0059.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0059.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0059.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0059_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0059.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0059_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0060.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0060.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0060.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0060_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0060.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0060_aug1.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0061.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0061.jpg,3A,False
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0061.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0061_aug0.jpg,3A,True
C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset\3A\dslr__DSC_0061.jpg,C:\Users\MithunvelKL\PycharmProjects\Tile_Sorting\data\roboflow_dataset_augmented\3A\dslr__DSC_0061_aug1.jpg,3A,True
